case_name,phone,password,expected_result,expected_error_msg
正向登录,13800138000,Test@123456,success,
密码错误,13800138000,WrongPass,fail,账号或密码错误
手机号空,,Test@123456,fail,请输入手机号
手机号格式错误,12345,Test@123456,fail,手机号格式不正确
密码空,13800138000,,fail,请输入密码
手机号前导空格, 13800138000,Test@123456,fail,手机号格式不正确
手机号后导空格,13800138000 ,Test@123456,fail,手机号格式不正确
密码含前导空格,13800138000, Test@123456,fail,账号或密码错误
手机号含字母,1380013800A,Test@123456,fail,手机号格式不正确
手机号长度不足,13800138,Test@123456,fail,手机号格式不正确
手机号超长,138001380001234,Test@123456,fail,手机号格式不正确
密码为纯数字,13800138000,12345678,fail,账号或密码错误
密码为常见弱密码,13800138000,password123,fail,账号或密码错误
连续错误3次,13800138000,WrongPass1,fail,账号或密码错误
连续错误5次锁定,13800138000,WrongPass2,fail,账号已被锁定，请稍后重试
手机号未注册,13900000000,Test@123456,fail,账号或密码错误
密码含特殊字符（正确）,13800138000,Test@#$%123,success,
手机号正确但密码为空且空格,13800138000, ,fail,请输入密码
