case_name,phone,password,nickname,sms_code,expected_result,expected_error_msg
注册_正常,13900139000,Reg@123456,新用户A,,success,
注册_手机号已存在,13800138000,Reg@123456,重复用户,,fail,该手机号已注册
注册_手机号格式错误,abcde,Reg@123456,格式错误用户,,fail,手机号格式不正确
注册_密码过短,13900139001,123,fail,短密码用户,,fail,密码长度不足
注册_验证码错误,13900139002,Reg@123456,验证码错,,fail,验证码错误
注册_验证码过期,13900139003,Reg@123456,过期验证,,fail,验证码已过期
注册_密码无特殊字符,13900139004,Reg123456,无特殊字符,,fail,密码必须包含特殊字符
注册_密码全数字,13900139005,12345678,纯数字密码,,fail,密码必须包含字母和特殊字符
注册_昵称超长,13900139006,Reg@123456,这是一个超过20个字符的超长昵称测试,,fail,昵称长度超出限制
注册_昵称含特殊符号,13900139007,Reg@123456,@#$%^&*(),,fail,昵称包含非法字符
注册_昵称为空,13900139008,Reg@123456,,,fail,昵称不能为空
注册_密码含空格,13900139009,Reg@ 123456,空格密码,,fail,密码不能包含空格
注册_手机号前导空格, 13900139010,Reg@123456,前导空格手机,,fail,手机号格式不正确
注册_手机号含非数字,13900139A00,Reg@123456,字母手机,,fail,手机号格式不正确
注册_手机号长度不足,139001390,Reg@123456,短手机,,fail,手机号格式不正确
注册_手机号超长,139001390001,Reg@123456,长手机,,fail,手机号格式不正确
注册_正常带短信验证码,13900139011,Reg@123456,验证码注册,123456,success,
注册_密码与昵称相同,13900139012,Reg@123456,Reg@123456,,fail,密码不能与昵称相同
注册_手机号已注册但未激活,13800138000,Reg@123456,未激活用户,,fail,该手机号已注册，请直接登录
